date,flight_number,destination,scheduled_departure,actual_departure,delayed
2025-03-27,AA1857,VPS,2025-03-27 20:35:00 CDT,2025-03-27 20:49:00 CDT,False
2025-03-27,AA1092,ELP,2025-03-27 20:29:00 CDT,2025-03-27 20:36:54 CDT,False
2025-03-27,AA2102,PNS,2025-03-27 20:27:00 CDT,2025-03-27 21:59:44 CDT,True
2025-03-27,AA3531,MTY,2025-03-27 20:25:00 CDT,2025-03-27 20:34:01 CDT,False
2025-03-27,AA2071,QRO,2025-03-27 20:23:00 CDT,2025-03-27 20:40:41 CDT,True
2025-03-27,NK200,LAX,2025-03-27 20:21:00 CDT,2025-03-27 20:42:49 CDT,True
2025-03-27,AA576,AUS,2025-03-27 20:20:00 CDT,2025-03-27 20:30:07 CDT,False
2025-03-27,AA3339,LEX,2025-03-27 20:18:00 CDT,2025-03-27 20:27:30 CDT,False
2025-03-27,AA4186,ATW,2025-03-27 20:17:00 CDT,2025-03-27 20:37:59 CDT,True
2025-03-27,AA2449,JAX,2025-03-27 20:17:00 CDT,2025-03-27 20:50:28 CDT,True
2025-03-27,AA1125,LAX,2025-03-27 20:14:00 CDT,2025-03-27 20:49:48 CDT,True
2025-03-27,5X751,SDF,2025-03-27 20:12:00 CDT,2025-03-27 20:12:04 CDT,False
2025-03-27,AA937,GIG,2025-03-27 20:10:00 CDT,2025-03-27 20:24:00 CDT,False
2025-03-27,UA1214,ORD,2025-03-27 20:05:00 CDT,2025-03-27 20:18:25 CDT,False
2025-03-27,AA3518,BIS,2025-03-27 20:04:00 CDT,2025-03-27 20:41:50 CDT,True
2025-03-27,AA4139,BHM,2025-03-27 19:57:00 CDT,2025-03-27 20:09:09 CDT,False
2025-03-27,9X411,HOT,2025-03-27 19:55:00 CDT,2025-03-27 20:02:56 CDT,False
2025-03-27,QF22,MEL,2025-03-27 19:55:00 CDT,2025-03-27 20:14:37 CDT,True
2025-03-27,AA6405,SAF,2025-03-27 19:55:00 CDT,2025-03-27 20:22:04 CDT,True
2025-03-27,AA3955,CUU,2025-03-27 19:54:00 CDT,2025-03-27 20:21:09 CDT,True
2025-03-27,AA3124,MFE,2025-03-27 19:50:00 CDT,2025-03-27 20:36:39 CDT,True
2025-03-27,AA2667,LAS,2025-03-27 19:50:00 CDT,2025-03-27 20:29:52 CDT,True
2025-03-27,AA2190,BJX,2025-03-27 19:50:00 CDT,2025-03-27 20:24:46 CDT,True
2025-03-27,AA3110,SNA,2025-03-27 08:52:00 CDT,2025-03-27 10:09:09 CDT,True
2025-03-27,UA2853,DEN,2025-03-27 08:50:00 CDT,2025-03-27 09:05:22 CDT,True
2025-03-27,AA2113,LAS,2025-03-27 08:50:00 CDT,2025-03-27 09:13:15 CDT,True
2025-03-27,NK406,LGA,2025-03-27 08:47:00 CDT,2025-03-27 09:02:06 CDT,True
2025-03-27,AA2759,SAT,2025-03-27 08:47:00 CDT,2025-03-27 08:52:59 CDT,False
2025-03-27,AA2066,SLC,2025-03-27 08:46:00 CDT,2025-03-27 09:07:38 CDT,True
2025-03-27,AA6500,TYR,2025-03-27 08:45:00 CDT,2025-03-27 08:50:59 CDT,False
2025-03-27,AA6487,AEX,2025-03-27 08:45:00 CDT,2025-03-27 08:59:06 CDT,False
2025-03-27,AA6445,LAW,2025-03-27 08:45:00 CDT,2025-03-27 09:18:43 CDT,True
2025-03-27,AA3940,GRK,2025-03-27 08:45:00 CDT,2025-03-27 08:58:25 CDT,False
2025-03-27,AA2890,PBI,2025-03-27 08:44:00 CDT,2025-03-27 11:13:21 CDT,True
2025-03-27,AA6293,ACT,2025-03-27 08:44:00 CDT,2025-03-27 09:09:07 CDT,True
2025-03-27,AA402,PHL,2025-03-27 08:44:00 CDT,2025-03-27 09:00:00 CDT,True
2025-03-27,AA3827,AUS,2025-03-27 08:43:00 CDT,2025-03-27 09:12:00 CDT,True
2025-03-27,AA1830,GDL,2025-03-27 08:43:00 CDT,2025-03-27 08:50:32 CDT,False
2025-03-27,AA5567,VPS,2025-03-27 08:42:00 CDT,2025-03-27 08:54:33 CDT,False
2025-03-27,AA3407,ABI,2025-03-27 08:40:00 CDT,2025-03-27 08:57:19 CDT,True
2025-03-27,AA1820,ONT,2025-03-27 08:40:00 CDT,2025-03-27 08:49:43 CDT,False
2025-03-27,AA1545,BOS,2025-03-27 08:40:00 CDT,2025-03-27 08:53:39 CDT,False
2025-03-27,AA1390,FLL,2025-03-27 08:40:00 CDT,2025-03-27 08:46:26 CDT,False
2025-03-27,AA1056,LGA,2025-03-27 08:39:00 CDT,2025-03-27 08:48:16 CDT,False
2025-03-27,UA2247,EWR,2025-03-27 08:38:00 CDT,2025-03-27 08:55:36 CDT,True
2025-03-27,AA2689,MIA,2025-03-27 08:37:00 CDT,2025-03-27 09:01:13 CDT,True
2025-03-27,AA4141,FSM,2025-03-27 08:36:00 CDT,2025-03-27 08:57:56 CDT,True
2025-03-27,AA2357,DEN,2025-03-27 08:36:00 CDT,2025-03-27 08:55:40 CDT,True
2025-03-27,AA389,MEX,2025-03-27 08:35:00 CDT,2025-03-27 09:15:37 CDT,True
2025-03-27,AA328,ORD,2025-03-27 08:35:00 CDT,2025-03-27 08:45:31 CDT,False
2025-03-27,AA1190,CUN,2025-03-27 08:34:00 CDT,2025-03-27 09:59:48 CDT,True
2025-03-27,AA877,BJX,2025-03-27 08:33:00 CDT,2025-03-27 08:56:31 CDT,True
2025-03-27,AA6269,SBN,2025-03-27 08:30:00 CDT,2025-03-27 09:44:06 CDT,True
2025-03-27,5X2751,SDF,2025-03-27 08:29:00 CDT,2025-03-27 08:18:00 CDT,False
2025-03-27,AA3778,BRO,2025-03-27 08:29:00 CDT,2025-03-27 08:43:01 CDT,False
2025-03-27,AA2437,SJU,2025-03-27 08:29:00 CDT,2025-03-27 08:49:14 CDT,True
2025-03-27,AA3354,ELP,2025-03-27 08:28:00 CDT,2025-03-27 08:44:10 CDT,True
2025-03-27,AA2767,SEA,2025-03-27 08:28:00 CDT,2025-03-27 09:38:45 CDT,True
2025-03-27,AA2081,SMF,2025-03-27 08:28:00 CDT,2025-03-27 08:39:23 CDT,False
2025-03-27,AA2347,EGE,2025-03-27 08:27:00 CDT,2025-03-27 08:32:59 CDT,False
2025-03-27,AA4179,TYS,2025-03-27 08:26:00 CDT,2025-03-27 09:41:12 CDT,True
2025-03-27,AA3920,AMA,2025-03-27 08:26:00 CDT,2025-03-27 08:46:57 CDT,True
2025-03-27,AA1177,DCA,2025-03-27 08:26:00 CDT,2025-03-27 08:34:47 CDT,False
2025-03-27,AA3428,BTR,2025-03-27 08:25:00 CDT,2025-03-27 08:43:19 CDT,True
2025-03-27,AA2673,PSP,2025-03-27 08:25:00 CDT,2025-03-27 08:42:11 CDT,True
2025-03-27,AA2432,SJD,2025-03-27 08:25:00 CDT,2025-03-27 08:54:49 CDT,True
2025-03-27,AA520,PHX,2025-03-27 08:25:00 CDT,2025-03-27 08:35:22 CDT,False
2025-03-27,AA6274,SHV,2025-03-27 08:24:00 CDT,2025-03-27 08:38:38 CDT,False
2025-03-27,AA5015,CHA,2025-03-27 08:24:00 CDT,2025-03-27 08:33:42 CDT,False
2025-03-27,AA3635,LBB,2025-03-27 08:24:00 CDT,2025-03-27 08:46:13 CDT,True
2025-03-27,AA3435,HOU,2025-03-27 08:23:00 CDT,2025-03-27 08:40:10 CDT,True
2025-03-27,AA2639,PVR,2025-03-27 08:23:00 CDT,2025-03-27 08:52:13 CDT,True
2025-03-27,AA3204,OKC,2025-03-27 08:22:00 CDT,2025-03-27 08:31:34 CDT,False
2025-03-27,AA6463,SAF,2025-03-27 08:21:00 CDT,2025-03-27 11:28:04 CDT,True
2025-03-27,AA4957,SJT,2025-03-27 08:21:00 CDT,2025-03-27 08:38:39 CDT,True
2025-03-27,AA3509,XNA,2025-03-27 08:21:00 CDT,2025-03-27 08:41:14 CDT,True
2025-03-27,AA3128,MKE,2025-03-27 08:21:00 CDT,2025-03-27 08:29:23 CDT,False
2025-03-27,AA2302,QRO,2025-03-27 08:20:00 CDT,2025-03-27 13:08:30 CDT,True
2025-03-27,AA4925,CLL,2025-03-27 08:20:00 CDT,2025-03-27 08:32:16 CDT,False
2025-03-27,FX3305,MEM,2025-03-27 08:19:00 CDT,2025-03-27 07:47:04 CDT,False
2025-03-27,AA4197,MFE,2025-03-27 08:19:00 CDT,2025-03-27 08:24:26 CDT,False
2025-03-27,AA3875,ICT,2025-03-27 08:19:00 CDT,2025-03-27 08:23:30 CDT,False
2025-03-27,AA6529,GPT,2025-03-27 08:18:00 CDT,2025-03-27 08:30:15 CDT,False
2025-03-27,AA6503,ASE,2025-03-27 08:18:00 CDT,2025-03-27 08:37:47 CDT,True
2025-03-27,AA6222,DRO,2025-03-27 08:18:00 CDT,2025-03-27 08:33:51 CDT,True
2025-03-27,AA3406,MTY,2025-03-27 08:18:00 CDT,2025-03-27 08:48:30 CDT,True
2025-03-27,AA1581,CVG,2025-03-27 08:18:00 CDT,2025-03-27 08:57:09 CDT,True
2025-03-27,AA1276,ATL,2025-03-27 08:16:00 CDT,2025-03-27 08:26:08 CDT,False
2025-03-27,DL1291,SLC,2025-03-27 08:15:00 CDT,2025-03-27 08:29:18 CDT,False
2025-03-27,AA2136,MCO,2025-03-27 08:15:00 CDT,2025-03-27 08:44:43 CDT,True
2025-03-27,AA4183,BNA,2025-03-27 08:14:00 CDT,2025-03-27 08:22:41 CDT,False
2025-03-27,AA2720,TUS,2025-03-27 08:13:00 CDT,2025-03-27 08:26:32 CDT,False
2025-03-27,AA4193,MEM,2025-03-27 08:12:00 CDT,2025-03-27 08:23:35 CDT,False
2025-03-27,AA3918,FWA,2025-03-27 08:12:00 CDT,2025-03-27 08:24:23 CDT,False
2025-03-27,AA3367,GSP,2025-03-27 08:12:00 CDT,2025-03-27 08:39:18 CDT,True
2025-03-27,AA3583,CRP,2025-03-27 08:10:00 CDT,2025-03-27 08:19:32 CDT,False
2025-03-27,AA2215,MSN,2025-03-27 08:10:00 CDT,2025-03-27 08:31:11 CDT,True
2025-03-27,AA2110,MCI,2025-03-27 08:10:00 CDT,2025-03-27 08:36:29 CDT,True
